CountyFIPS,CountyName,StateAbbr,CASTHMA_AdjPrev,CASTHMA_Category,pred_wght_pm25,pred_wght_no2,pred_wght_o3,pred_wght_so2,CSMOKING_AdjPrev,Geolocation
40065,Jackson,OK,9.7,Medium,7.276855634994667,3.713581293201511,47.733318667620836,1.0623172808738575,17.4,POINT (-99.41467445 34.58811786)
17101,Lawrence,IL,9.5,Medium,8.535631030673253,4.100098683923396,43.99410954109359,0.9761704199279059,21.7,POINT (-87.72684251 38.7203392)
20009,Barton,KS,9.7,Medium,7.053983437407578,3.778922575874697,43.86622223471494,0.9933586096469358,18.7,POINT (-98.75632156 38.478934)
40137,Stephens,OK,10.5,High,6.857535263542832,2.808665397800592,46.527533976955034,0.8101067485334991,21.8,POINT (-97.85149263 34.485439)
54059,Mingo,WV,12.2,High,5.357986284385835,2.197715524477689,39.29077826035978,1.5230813705068826,29.5,POINT (-82.13487448 37.7266469)
27017,Carlton,MN,9.3,Low,4.937907583036977,2.51158668232401,33.64108303001873,0.8175869886349981,20.4,POINT (-92.67718507 46.59234267)
31023,Butler,NE,7.9,Low,6.193203730124161,2.67553610829725,40.468963447131266,0.9406234576887158,17.0,POINT (-97.13109076 41.22606487)
21087,Green,KY,10.8,High,6.660469563995591,1.9295747674052268,42.070223992463006,0.5299352602742641,28.4,POINT (-85.55275689 37.26385887)
51005,Alleghany,VA,10.5,High,5.372580675649705,3.438602351560004,39.26410623547674,1.303447600852398,22.8,POINT (-80.00804267 37.78778321)
48215,Hidalgo,TX,7.9,Low,9.036740568878793,5.051851779716373,29.975417403444897,0.8386851317907937,15.6,POINT (-98.18139361 26.39669726)
29209,Stone,MO,10.2,Medium,6.79911240668342,1.6623373443871785,41.012375319471815,0.5994208255453393,24.3,POINT (-93.45593742 36.74711689)
29037,Cass,MO,10.1,Medium,8.292407703560158,4.1191394805551775,43.051898397654135,0.7611750256816774,19.8,POINT (-94.35490172 38.64715476)
47049,Fentress,TN,10.7,High,4.807766292335177,1.6065490578057293,40.55635418613182,0.22199433612411465,27.0,POINT (-84.93242305 36.38048925)
19041,Clay,IA,8.5,Low,6.575565688960428,2.7461933750496326,39.7326184334885,0.839423864987937,18.2,POINT (-95.15096481 43.08247182)
36103,Suffolk,NY,8.7,Low,6.356660199182694,8.12405198983096,41.971112012075075,0.4023671226911674,13.7,POINT (-72.84630378 40.86929097)
27047,Freeborn,MN,9.0,Low,6.519672561854634,4.587366190240455,38.443817770952286,0.7337094921709942,19.2,POINT (-93.3488462 43.67383179)
31129,Nuckolls,NE,8.5,Low,6.219734792719547,2.9685542082532255,41.90692092366374,1.0092859943664219,18.3,POINT (-98.04730292 40.17640466)
39103,Medina,OH,9.5,Medium,7.816788372895933,4.003217826096901,42.346675883765265,0.6479283107785382,18.3,POINT (-81.89971893 41.11785433)
28021,Claiborne,MS,12.1,High,6.878744392835377,1.316793373999177,36.28115709723107,0.8190415524034802,23.8,POINT (-90.91172397 31.97388049)
17069,Hardin,IL,9.9,Medium,7.51937366530558,1.8386026507590698,43.06266837000455,0.8856809897310961,22.9,POINT (-88.26669442 37.51808974)
48179,Gray,TX,8.7,Low,7.003272702401422,3.9547123611042103,48.30071582486321,1.24840653283387,20.2,POINT (-100.8129222 35.40081878)
21063,Elliott,KY,10.8,High,5.196703996002399,1.4195025633795624,38.93482280167583,0.4390901143560085,32.2,POINT (-83.09747613 38.11859477)
28137,Tate,MS,10.1,Medium,7.244332919342239,2.8693444037200386,39.648164630723834,0.6067691603439457,20.9,POINT (-89.94496732 34.65059514)
12091,Okaloosa,FL,8.6,Low,6.874942724577967,2.4874122223249286,37.650959899645464,0.5584863764076041,18.0,POINT (-86.59169942 30.69085706)
48443,Terrell,TX,7.9,Low,6.402462262671153,2.758537619848097,46.91218571280604,1.801365274483139,15.8,POINT (-102.0765231 30.22487995)
27111,Otter Tail,MN,9.2,Low,5.843381449521097,2.376085603895715,36.8497339676248,0.9230105187163123,16.7,POINT (-95.70767954 46.40857077)
05055,Greene,AR,9.9,Medium,7.56025555319243,2.8930843624972113,42.92203643721018,0.9259136689092191,23.8,POINT (-90.5589908 36.11781055)
51145,Powhatan,VA,9.3,Low,6.253971438935181,2.347847036118586,39.53068660377827,0.535074792984006,16.9,POINT (-77.91518995 37.55010427)
35053,Socorro,NM,9.4,Medium,3.9459891448935287,4.195021822036133,53.858413215462804,1.343537890722434,18.7,POINT (-106.9297719 34.0072726)
23027,Waldo,ME,11.5,High,3.7446836660195255,1.197131071887896,34.237054421245254,0.5753496905759744,20.4,POINT (-69.14171453 44.50153288)
22111,Union,LA,9.7,Medium,6.615720075543078,1.7067523015264576,36.44321609174704,0.4874455474774684,23.2,POINT (-92.37480503 32.83177119)
42103,Pike,PA,9.7,Medium,4.500511910762977,2.938002149320995,37.265581759467175,0.4862532997676234,18.3,POINT (-75.03353529 41.33211549)
42125,Washington,PA,10.2,Medium,8.697424943625032,3.971264203631512,43.15916431050734,1.0350568979290926,19.2,POINT (-80.24824279 40.18926386)
