classifier,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std
DecisionTreeRegressor,0.5980008388088913,0.01568027165788579,0.5987025730714672,0.013408468629998418
DecisionTreeClassifier,0.6060492618999539,0.012616844983211356,0.6067610174755405,0.013142548597771276
RandomForestClassifier,0.6810429190549419,0.011746958445017028,0.6782072545419943,0.011609877615898517
KNeighborsClassifier,0.6636697371214357,0.009345736749214364,0.658456908987317,0.008917521195380085
AdaBoostClassifier,0.6250446588067168,0.006249163972862424,0.6227846303477935,0.005986479034606654
SGDClassifier,0.512693456772864,0.08621984959651072,0.4453535739362774,0.11329342785766448
GradientBoostingClassifier,0.6730007093630748,0.006159517961734239,0.670788267734426,0.005283826382086936
BaggingClassifier,0.6549658004152621,0.029847048704020173,0.6537836815456274,0.031185751619662187
MLPClassifier,0.6166772812236255,0.019717938829492968,0.6083494424849638,0.022506135256720752
LogisticRegression,0.6401804992466253,0.018691694041435156,0.6376787794618956,0.01856480377851528
VotingClassifier,0.6784685006549958,0.012993839269263006,0.675281609556498,0.012733845090568454
