classifier,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std
DecisionTreeRegressor,0.5999321703921172,0.026652399909927245,0.6001734152203689,0.025116247272681285
DecisionTreeClassifier,0.60572823627486,0.010844838982876831,0.6064869440777502,0.011945691100164421
RandomForestClassifier,0.6810424012716757,0.01277194335854026,0.67826554725062,0.012556157257806903
KNeighborsClassifier,0.6636697371214357,0.009345736749214364,0.658456908987317,0.008917521195380085
AdaBoostClassifier,0.6250446588067168,0.006249163972862424,0.6227846303477935,0.005986479034606654
SGDClassifier,0.5864081892601394,0.015781484855187485,0.5397072148419134,0.0455086587468145
GradientBoostingClassifier,0.6704237020467972,0.0046659200648475185,0.6686347217103537,0.0035816214182662607
BaggingClassifier,0.6507914317225095,0.007479868462178237,0.6490870386680953,0.006745308760254123
MLPClassifier,0.62022357881438,0.02236303166112056,0.6170823711802299,0.019736618710957107
LogisticRegression,0.6401804992466253,0.018691694041435156,0.6376787794618956,0.01856480377851528
VotingClassifier,0.6768602658299289,0.015437825750665341,0.6741371188789241,0.014900958399984328
